Album;Year;Genre I;Genre II;Rating
Tangerine Dream - Phaedra;2015;Electronic;;Classic
Radiohead - Kid A;2016;Electronic;;Classic
Daft Punk - Discovery;;Electronic;;Classic
Aphex Twin - Selected Ambient Works 85-92;;Electronic;;Classic
A.A.L (Against All Logic) - 2012-2017;;Electronic;;9 / 10
Sophie - Product;2015;Electronic;;8 / 10
Oneohtrix Point Never - Garden of Delete;2015;Electronic;;8 / 10
Iglooghost - Chinese Nu Yr;2015;Electronic;;8 / 10
Matmos - Ultimate Care II;2016;Electronic;;8 / 10
Massive Attack - Ritual Spirit;2016;Electronic;;8 / 10
Iglooghost - Neo Wax Bloom;2017;Electronic;;8 / 10
Forest Swords - Compassion;2017;Electronic;;8 / 10
Ibibio Sound Machine - Uyai;2017;Electronic;;8 / 10
Sinjin Hawke - First Opus;2017;Electronic;;8 / 10
Meridian Brothers - Los Suicidas;2016;Electronic;;7 / 10
The Avalanches - Wildflower;2016;Electronic;Hip-Hop;7 / 10
Bicep - Bicep;2017;Electronic;;7 / 10
Nmesh - Pharma;2017;Electronic;;7 / 10
Blanck Mass - World Eater;2017;Electronic;;7 / 10
Jon Hopkins - Singularity;2018;Electronic;;7 / 10
Disclosure - Caracal;2015;Electronic;;6 / 10
Arca - Mutant;2015;Electronic;;6 / 10
Kaytranada - 99.9%;2016;Electronic;;6 / 10
Nicolas Jaar - Sirens;2016;Electronic;;6 / 10
Baauer - Aa;2016;Electronic;;6 / 10
2 8 1 4 - Rain Temple;2016;Electronic;;6 / 10
Ash Koosha - I AKA I;2016;Electronic;;6 / 10
LCD Soundsystem - American Dream;2017;Electronic;;6 / 10
Oneohtrix Point Never - Age Of;2018;Electronic;;6 / 10
Health - Death Magic;2015;Electronic;;5 / 10
James Blake - The Colour in Anything;2016;Electronic;;5 / 10
Tim Hecker - Love Streams;2016;Electronic;;5 / 10
Flume - Skin;2016;Electronic;;5 / 10
Justice - Woman;2016;Electronic;;5 / 10
Arca - Self-Titled;2017;Electronic;;5 / 10
Daniel Avery - Song for Alpha;2018;Electronic;;5 / 10
Crystal Castles - Amnesty (I);2016;Electronic;;4 / 10
Various Artists - Star Wars Headspace;2016;Electronic;;2 / 10
Gas - Narkopop;;Electronic;;2 / 10
"The Avalanches - ""Frankie Sinatra"" ft. Danny Brown & MF DOOM";2016;Electronic;Hip-Hop;
N.W.A. - Straight Outta Compton;2015;Hip-Hop;;Classic
DJ Shadow - Endtroducing.....;2016;Hip-Hop;;Classic
Nas - Illmatic;2016;Hip-Hop;;Classic
OutKast - ATliens;2017;Hip-Hop;;Classic
