Captain Beefheart,Trout Mask Replica,classic,Classics
Aphex Twin,Selected Ambient Works 85-92,classic,Classics
Bob Dylan,Highway 61 Revisited,CLASSIC,Classics
Daft Punk,Discovery,classic,Classics
DJ Shadow,Endtroducing.....,CLASSIC,Classics
Fugazi,Repeater,CLASSIC,Classics
Iron Maiden,The Number of the Beast,CLASSIC,Classics
Johnny Cash,At Folsom Prison,CLASSIC,Classics
Joy Division,Unknown Pleasures,CLASSIC,Classics
Kate Bush,Hounds of Love,CLASSIC,Classics
Kraftwerk,Trans-Europe Express,CLASSIC,Classics
Lauryn Hill,The Miseducation of Lauryn Hill,classic,Classics
Michael Jackson,Thriller,classic,Classics
Nas,Illmatic,classic,Classics
Neutral Milk Hotel,In the Aeroplane Over the Sea,CLASSIC,Classics
Nina Simone,Pastel Blues,CLASSIC,Classics
Niravana,In Utero,classic,Classics
NWA,Straight Outta Compton,CLASSIC,Classics
Outkast,ATLiens,classic,Classics
Patti Smith,Horses,classic,Classics
Prince and the Revolution,Purple Rain,CLASSIC,Classics
Radiohead,Kid A,CLASSIC,Classics
Roland Kirk,I Talk With the Spirits,CLASSIC,Classics
Slint,Spiderland,CLASSIC,Classics
Talking Heads,Remain In Light,classic,Classics
Tangerine Dream,Phaedra,CLASSIC,Classics
The Microphones,The Glow Pt. 2,classic,Classics
Tom Waits,Rain Dogs,classic,Classics
Ween,Chocolate and Cheese,classic,Classics
Yes,Close to the Edge,classic,Classics
Arca,&&&&&,NONE,Electronic
Daftside,Random Access Memories Memories,NONE,Electronic
Mount Kimbie,Cold Spring Fault Less Youth,NONE,Electronic
The Knife,Shaking The Habitual,9,Electronic
Actress,Ghettoville,8,Electronic
Ash Koosha,GUUD,8,Electronic
Autechre,Exai,8,Electronic
Burial,Truant / Rough Sleeper,8,Electronic
Daft Punk,Random Access Memories,8,Electronic
Daniel Avery,Drone Logic,8,Electronic
Darkside,Psychic,8,Electronic
Forest Swords,Compassion,8,Electronic
Ibibio Sound Machine,Uyai,8,Electronic
Iglooghost,Ne\xc5\x8d Wax Bloom,8,Electronic
Iglooghost,Chinese N\xc3\xbc Yr,8,Electronic
Jon Hopkins,Immunity,8,Electronic
Liars,Mess,8,Electronic
Massive Attack,Ritual Spirit,8,Electronic
Matmos ,Ultimate Care II,8,Electronic
Shlohmo,Laid Out,8,Electronic
Sinjin Hawke,First Opus,8,Electronic
Sophie,Product,8,Electronic
Tobacco,Ultima II Massage,8,Electronic
Young Fathers,Tape Two,8,Electronic
Death Grips,Fashion Week,7,Electronic
RP Boo,Fingers, Bank Pads & Shoeprints,7,Electronic
Andy Stott,Faith In Strangers,7,Electronic
Andy Stott,Luxury Problems,7,Electronic
Atoms For Peace,Amok,7,Electronic
Bibio,Silver Wilkinson,7,Electronic
Blanck Mass,World Eater,7,Electronic
Deadmau5,While (1 Is Less Than 2),7,Electronic
Disclosure,Settle,7,Electronic
Evian Christ,Waterfall,7,Electronic
Four Tet,Beautiful Rewind,7,Electronic
Holly Herndon,Movement,7,Electronic
James Holden,The Inheritors,7,Electronic
Jamie xx,In Colour,7,Electronic
John Carpenter,Lost Themes,7,Electronic
Jon Hopkins,Singularity,7,Electronic
Lapalux,Nostalchic,7,Electronic
Machinedrum,Vapor City,7,Electronic
Mr. Oizo,The Church,7,Electronic
Nmesh,Pharma,7,Electronic
Ratatat,Magnifique,7,Electronic
The Avalanches,Wildflower,7,Electronic
The Chemical Brothers,Born In the Echoes,7,Electronic
The Soft Pink Truth,Why Do The Heathen Rage?,7,Electronic
Vessel,Order of Noise,7,Electronic
Villagers,{Awayland},7,Electronic
3:33,In the Middle of Infinity,6,Electronic
Anamanaguchi,Endless Fantasy,6,Electronic
Aphex Twin,Syro,6,Electronic
Arca,Mutant,6,Electronic
Arca,Xen,6,Electronic
Ash Koosha,I AKA I,6,Electronic
Baauer,Aa,6,Electronic
Baths,Obsidian,6,Electronic
Bill Callahan,Apocalypse,6,Electronic
Blanck Mass,Dumb Flesh,6,Electronic
Boards of Canada,Tomorrow's Harvest,6,Electronic
Bonobo,The North Borders,6,Electronic
Caribou,Our Love,6,Electronic
Classixx,Hanging Gardens,6,Electronic
Daphni,Jiaolong,6,Electronic
Disclosure,Caracal,6,Electronic
Fuck Buttons,Slow Focus,6,Electronic
Holly Herndon,Platform,6,Electronic
Kaytranada ,99.9%,6,Electronic
LCD Soundsystem,American Dream,6,Electronic
Lee Bannon,Alternate/Endings,6,Electronic
Nicolas Jaar,Sirens,6,Electronic
Oneohtrix Point Never,R Plus Seven,6,Electronic
Prurient,Rainbow Mirror,6,Electronic
Rhye,Woman,6,Electronic
Shlohmo,Dark Red,6,Electronic
Squarepusher,Damogen Furies,6,Electronic
The Bug,Angels & Devils,6,Electronic
Thom Yorke,Tomorrow's Modern Boxes,6,Electronic
Todd Terje,It's Album Time,6,Electronic
Tycho,Awake,6,Electronic
Black Moth Super Rainbow,Cobra Juicy,5,Electronic
Burial,Rival Dealer,5,Electronic
Dan Deacon,Gliss Riffer,5,Electronic
Daniel Avery,Song For Alpha,5,Electronic
Flume ,Skin,5,Electronic
Gesaffelstein,Aleph,5,Electronic
Health,Death Magic,5,Electronic
Hudson Mohawke,Lantern,5,Electronic
Nosaj Thing,Home,5,Electronic
Porter Robinson,Worlds,5,Electronic
SBTRKT,Wonder Where We Land,5,Electronic
Skrillex,Recess,5,Electronic
Tim Hecker,Love Streams,5,Electronic
Zomby,With Love,5,Electronic
Crystal Castles,Amnesty (I),4,Electronic
Crystal Castles,(III),4,Electronic
Glitch Mob,Love Death Immortality,3,Electronic
Lone,Reality Testing,3,Electronic
Portico,Living Fields,3,Electronic
Thundercat,Apocalypse,3,Electronic
Gas,Narkopop,2,Electronic
Rick Ross,Mastermind,uhhhhhhhhh,Hip-Hop
Wale,Shine,opinion,Hip-Hop
Armand Hammer,Furtive Movements,NONE,Hip-Hop
Ghostpoet,Some Say I So I Say Light,NONE,Hip-Hop
Jarren Benton,My Grandmother's Basement,NONE,Hip-Hop
Milo,Cavalcade,NONE,Hip-Hop
Various Artists,Coalmine Records Presents: Unearthed,NONE,Hip-Hop
Big Sean,Dark Sky Paradise,no,Hip-Hop
Run the Jewels,Meow the Jewels,http://www.runthejewels.net,Hip-Hop
Action Bronson,Saaab Stories,f,Hip-Hop
Yung Lean,Unknown Death 2002,bread,Hip-Hop
B.o.B.,Ether,b.o.b. album,Hip-Hop
Kendrick Lamar,To Pimp A Butterfly,10,Hip-Hop
Brockhampton,Saturation,9,Hip-Hop
clipping.,CLPPNG,9,Hip-Hop
Danny Brown,Atrocity Exhibition,9,Hip-Hop
Death Grips,Bottomless Pit,9,Hip-Hop
Death Grips,The Powers That B (Niggas On the Moon / Jenny Death),9,Hip-Hop
Freddie Gibbs & Madlib,Pi\xc3\xb1ata,9,Hip-Hop
Kendrick Lamar,good kid, m.A.A.d. City,9,Hip-Hop
Milo,Things That Happen At Day / Things That Happen At Night,8,Hip-Hop
Mick Jenkins,The Water's,8,Hip-Hop
Action Bronson and the Alchemist,Rare Chandeliers,8,Hip-Hop
Apathy,Connecticut Casual,8,Hip-Hop
Armand Hammer,Race Music,8,Hip-Hop
Billy Woods,Known Unknowns,8,Hip-Hop
Black Milk,No Poison No Paradise,8,Hip-Hop
Black Thought / 9th Wonder,Streams of Thought, Vol. 1,8,Hip-Hop
Brockhampton,Saturation III,8,Hip-Hop
Brockhampton,Saturation II,8,Hip-Hop
Busdriver,Perfect Hair,8,Hip-Hop
Cakes Da Killa,The Eulogy,8,Hip-Hop
Clipping,Midcity,8,Hip-Hop
Czarface,Every Hero Needs A Villain,8,Hip-Hop
Da Mafia 6ix,6ix Commandments,8,Hip-Hop
Denzel Curry ,Imperial,8,Hip-Hop
Drake,If You're Reading This, It's Too Late,8,Hip-Hop
Flatbush Zombies,BetterOffDEAD,8,Hip-Hop
Ghostface Killah and Adrian Younge,Twelve Reasons To Die,8,Hip-Hop
Girl Talk & Freeway,Broken Ankles,8,Hip-Hop
Injury Reserve,Floss,8,Hip-Hop
Injury Reserve,Live From the Dentist Office,8,Hip-Hop
Jay-Z,4:44,8,Hip-Hop
Joey Bada$$,B4.DA.$$,8,Hip-Hop
JPEGMAFIA,Veteran,8,Hip-Hop
Ka,The Night's Gambit,8,Hip-Hop
Ka,Honor Killed the Samurai,8,Hip-Hop
Kanye West,ye,8,Hip-Hop
Kanye West,The Life of Pablo,8,Hip-Hop
Kanye West,The Life of Pablo,8,Hip-Hop
Karriem Riggins,Alone Together,8,Hip-Hop
Lil Ugly Mane,Third Side of Tape,8,Hip-Hop
milo,So The Flies Don't Come,8,Hip-Hop
Noname ,Telefone,8,Hip-Hop
Open Mike Eagle,Brick Body Kids Still Daydream,8,Hip-Hop
Open Mike Eagle,A Special Episode Of,8,Hip-Hop
Open Mike Eagle,Dark Comedy,8,Hip-Hop
Princess Nokia,1992 Deluxe,8,Hip-Hop
Quelle Chris ,Being You Is Great, I Wish I Could Be You More Often,8,Hip-Hop
Ratking,So It Goes,8,Hip-Hop
Run the Jewels,Run the Jewels 2,8,Hip-Hop
Step Brothers,Lord Steppington,8,Hip-Hop
The Game,The Documentary 2.5,8,Hip-Hop
The Progressive Era,PEEP: The aPROcalypse,8,Hip-Hop
The Underachievers,Evermore: The Art of Duality,8,Hip-Hop
Travis Scott,Rodeo,8,Hip-Hop
Uncommon Nasa,New York Telephone,8,Hip-Hop
Wiley,Godfather,8,Hip-Hop
YC The Cynic,GNK,8,Hip-Hop
YG,Still Brazy,8,Hip-Hop
Young Fathers,Tape Two,8,Hip-Hop
Your Old Droog,Kinison,8,Hip-Hop
21 Savage / Offset / Metro Boomin',Without Warning,7,Hip-Hop
A$AP Ferg,Ferg Forever,7,Hip-Hop
A$AP Ferg,Trap Lord,7,Hip-Hop
A$AP Rocky,Long.Live.A$AP,7,Hip-Hop
Ab-Soul,Do What Thou Wilt.,7,Hip-Hop
Apathy ,Handshakes With Snakes,7,Hip-Hop
Billy Woods,Today, I Wrote Nothing,7,Hip-Hop
Billy Woods,Dour Candy,7,Hip-Hop
Blu & Exile,Give Me My Flowers While I Can Still Smell Them,7,Hip-Hop
Bones,PaidProgramming2,7,Hip-Hop
Bones,Useless,7,Hip-Hop
Captain Murphy,Duality,7,Hip-Hop
Chance The Rapper,Coloring Book,7,Hip-Hop
Clams Casino ,32 Levels,7,Hip-Hop
clipping.,Wriggle,7,Hip-Hop
CunninLynguists,Strange Journey Vol. 3,7,Hip-Hop
CupcakKe,Ephorize,7,Hip-Hop
Czarface / MF Doom,Czarface Meets Metal Face,7,Hip-Hop
D.R.A.M.,Big Baby D.R.A.M.,7,Hip-Hop
Danny Brown,Old,7,Hip-Hop
Denzel Curry,Nostalgic 64,7,Hip-Hop
Dr. Dre,Compton,7,Hip-Hop
Eminem,The Marshall Mathers LP 2,7,Hip-Hop
Freddie Gibbs,Shadow of a Doubt,7,Hip-Hop
Hellfyre Club,Dorner vs. Tookie,7,Hip-Hop
Injury Reserve,Drive It Like It's Stolen,7,Hip-Hop
Joey Bada$$,Summer Knights,7,Hip-Hop
Joey Purps,iiiDrops,7,Hip-Hop
Jonwayne,Rap Album Two,7,Hip-Hop
Kano,Made In the Manor,7,Hip-Hop
Kemba,Negus,7,Hip-Hop
Kendrick Lamar,DAMN.,7,Hip-Hop
Lil Herb,Welcome To Fazoland,7,Hip-Hop
Lil Yachty ,Lil Boat,7,Hip-Hop
Lil Yatchy,Lil Boat 2,7,Hip-Hop
Lupe Fiasco,Tetsuo & Youth,7,Hip-Hop
M.I.A.,Matangi,7,Hip-Hop
Mac Miller,GO:OD AM,7,Hip-Hop
Meek Mill,Dreams Worth More Than Money,7,Hip-Hop
Migos ,Culture,7,Hip-Hop
Milo,Who Told You To Think??!!?!?!?!,7,Hip-Hop
Mr. Muthafuckin / eXquire,Kismet,7,Hip-Hop
Mr. Yote,The Terrible Tales of Scurvy Jones,7,Hip-Hop
N.E.R.D.,NO_ONE EVER REALLY DIES,7,Hip-Hop
NxWorries,Yes Lawd!,7,Hip-Hop
Onyx,Wakedafucup,7,Hip-Hop
Open Mike Eagle & Paul White,Hella Personal Film Festival,7,Hip-Hop
Pharoahe Monch,P.T.S.D.,7,Hip-Hop
Playboi Carti,Die Lit,7,Hip-Hop
Post Malone,beerbongs & bentleys,7,Hip-Hop
Pusha T,King Push \xe2\x80\x93 Darkest Before Dawn: The Prelude,7,Hip-Hop
Quasimoto,Yessir Whatever,7,Hip-Hop
Quelle Chris,Innocent Country,7,Hip-Hop
Quelle Chris,Ghost At The Finish Line,7,Hip-Hop
Rae Sremmurd,SR3MM,7,Hip-Hop
Schoolboy Q,Oxymoron,7,Hip-Hop
Shad,Flying Colours,7,Hip-Hop
Sir Michael Rocks,Banco,7,Hip-Hop
Skepta,Konnichiwa,7,Hip-Hop
Ski Mask the Slump God,Beware the Book of Eli,7,Hip-Hop
The Underachievers,Cellar Door: Terminus Ut Exordium,7,Hip-Hop
The Underachievers,Indigoism,7,Hip-Hop
Uncommon Nasa,Halfway,7,Hip-Hop
Vince Staples,Prima Donna,7,Hip-Hop
Vince Staples,Hell Can Wait,7,Hip-Hop
Waka Flocka Flame,Flockaveli 1.5,7,Hip-Hop
Wiki,Lil Me,7,Hip-Hop
Your Old Droog,Packs,7,Hip-Hop
Travis Scott / Quavo,Huncho Jack / Jack Huncho,6,Hip-Hop
Mick Jenkins,Wave's,6,Hip-Hop
A$ap Ferg,Still Striving,6,Hip-Hop
Action Bronson,Blue Chips 7000,6,Hip-Hop
Action Bronson & Party Supplies,Blue Chips 2,6,Hip-Hop
Armand Hammer,Rome,6,Hip-Hop
BADBADNOTGOOD & Ghostface Killah,Sour Soul,6,Hip-Hop
Bedwetter,Flick Your Tongue Against Your Teeth and Describe the Present,6,Hip-Hop
Big K.R.I.T.,Cadillactica,6,Hip-Hop
Big Sean,I Decided,6,Hip-Hop
Black Milk,If There's A Hell Below,6,Hip-Hop
Blu,Good To Be Home,6,Hip-Hop
Bones,Garbage,6,Hip-Hop
Busdriver,Thumbs,6,Hip-Hop
Cardi B,Invasion of Privacy,6,Hip-Hop
Cavanaugh,Time & Materials,6,Hip-Hop
Chance The Rapper,Acid Rap,6,Hip-Hop
Common,Nobody's Smiling,6,Hip-Hop
Death Grips,Government Plates,6,Hip-Hop
Denzel Curry,32 Zel / Planet Shrooms,6,Hip-Hop
DJ Khaled,Major Key,6,Hip-Hop
Dr. Yen Lo,Days With Dr. Yen Lo,6,Hip-Hop
Drake & Future,What A Time To Be Alive,6,Hip-Hop
Earl Sweatshirt,I Don't Like Shit, I Don't Go Outside,6,Hip-Hop
Earl Sweatshirt,Doris,6,Hip-Hop
Flatbush Zombies ,Vacation in Hell,6,Hip-Hop
Freddie Gibbs,You Only Live 2wice,6,Hip-Hop
Future,DS2,6,Hip-Hop
Future ,EVOL,6,Hip-Hop
Gucci Mane,Everybody Looking,6,Hip-Hop
Isaiah Rashad,The Sun's Tirade,6,Hip-Hop
Isaiah Rashad,Cilvia Demo,6,Hip-Hop
J. Cole,4 Your Eyez Only,6,Hip-Hop
J. Cole,2014 Forest Hills Drive,6,Hip-Hop
Jay Rock,90059,6,Hip-Hop
Jay-Z,Magna Carta... Holy Grail,6,Hip-Hop
King Los,God, Money, War,6,Hip-Hop
Lee Scott,Butter Fly,6,Hip-Hop
Logic,The Incredible True Story,6,Hip-Hop
Logic,Under Pressure,6,Hip-Hop
Lupe Fiasco,DROGAS Light,6,Hip-Hop
Mac Miller,Faces,6,Hip-Hop
Mac Miller,Watching Movies With the Sound Off,6,Hip-Hop
Macklemore & Ryan Lewis,This Unruly Mess I've Made,6,Hip-Hop
Nas,Nasir,6,Hip-Hop
Nocando,Jimmy The Burnout,6,Hip-Hop
PRhyme,PRhyme 2,6,Hip-Hop
Pusha T,My Name Is My Name,6,Hip-Hop
R.A. The Rugged Man,Legends Never Die,6,Hip-Hop
Rich Brian,Amen,6,Hip-Hop
Rick Ross,Rather You Than Me,6,Hip-Hop
Rico Nasty,Nasty,6,Hip-Hop
Ski Mask the Slump God,You Will Regret,6,Hip-Hop
Smokepurpp,Deadstar,6,Hip-Hop
SOB x RBE,Gangin,6,Hip-Hop
The Game,The Documentary 2,6,Hip-Hop
The Underachievers,Renaissance,6,Hip-Hop
Ty Dolla $ign,Free TC,6,Hip-Hop
Tyler, The Creator,Wolf,6,Hip-Hop
Various Artists,Black Panther The Album,6,Hip-Hop
Vic Mensa,The Autobiography,6,Hip-Hop
Vince Staples,Big Fish Theory,6,Hip-Hop
Vince Staples,Summertime 06,6,Hip-Hop
YG,My Krazy Life,6,Hip-Hop
Young Fathers,Dead,6,Hip-Hop
Yung Lean,Stranger,6,Hip-Hop
ZelooperZ,HELP,6,Hip-Hop
A$AP Rocky,At. Long. Last. A$AP,5,Hip-Hop
Ab-Soul,These Days...,5,Hip-Hop
Action Bronson,Mr. Wonderful,5,Hip-Hop
Amin\xc3\xa9,Good For You,5,Hip-Hop
Azealia Banks,Broke With Expensive Taste,5,Hip-Hop
Bas,Too High To Riot,5,Hip-Hop
Big K.R.I.T.,It's Better This Way,5,Hip-Hop
Big Sean / Metro Boomin',Double or Nothing,5,Hip-Hop
Cannibal Ox,Blade of the Ronin,5,Hip-Hop
Childish Gambino,Because The Internet,5,Hip-Hop
Dizzy Wright,The Golden Age,5,Hip-Hop
Drake,Nothing Was The Same,5,Hip-Hop
Drake ,More Life,5,Hip-Hop
Fashawn,The Ecology,5,Hip-Hop
Future / Young Thug,Super Slimey,5,Hip-Hop
Ghostface Killah,36 Seasons,5,Hip-Hop
GoldLink,At What Cost,5,Hip-Hop
Hail Mary Mallon,Bestiary,5,Hip-Hop
Heems,Wild Water Kingdom,5,Hip-Hop
J. Cole,KOD,5,Hip-Hop
J. Cole,Born Sinner,5,Hip-Hop
Kanye West,Yeezus,5,Hip-Hop
Kirk Knight,Late Knight Special,5,Hip-Hop
Lil B,Black Ken,5,Hip-Hop
Lil Ugly Mane,Oblivion Access,5,Hip-Hop
Lil Yachty ,Summer Songs 2,5,Hip-Hop
Little Simz,Stillness In Wonderland,5,Hip-Hop
Logic,Bobby Tarantino II,5,Hip-Hop
Migos,No Label II,5,Hip-Hop
P.O.S,We Don't Even Live Here,5,Hip-Hop
Ratking,Wiki93,5,Hip-Hop
RiFF RAFF,NEON iCON,5,Hip-Hop
ScHoolboy Q,Blank Face,5,Hip-Hop
Shabazz Palaces,Lese Majesty,5,Hip-Hop
The Game,1992,5,Hip-Hop
The Game,Jesus Piece,5,Hip-Hop
Trippie Redd,A Love Letter To You 2,5,Hip-Hop
Ugly God,The Booty Tape,5,Hip-Hop
Vic Mensa,There's Alot Going On,5,Hip-Hop
Wiley,Godfather II,5,Hip-Hop
Young Thug,I'm Up,5,Hip-Hop
Young Thug,Beautiful Thugger Girls,5,Hip-Hop
Young Thug,Barter 6,5,Hip-Hop
Young Thug ,Slime Season 3,5,Hip-Hop
